YEAR,MONTH_NUM,MONTH_MON,FLT_DATE,APT_ICAO,APT_NAME,STATE_NAME,FLT_DEP_1,FLT_DEP_IFR_2,DLY_ATC_PRE_2,FLT_DEP_3,DLY_ATC_PRE_3
2024,01,JAN,2024-01-01,EBAW,Antwerp,Belgium,2,,,,
2024,01,JAN,2024-01-01,EBBR,Brussels,Belgium,195,195,125,134,89
2024,01,JAN,2024-01-01,EBCI,Charleroi,Belgium,79,78,41,66,37
2024,01,JAN,2024-01-01,EBLG,Liège,Belgium,17,,,,
2024,01,JAN,2024-01-01,EBOS,Ostend-Bruges,Belgium,8,,,,
2024,01,JAN,2024-01-01,EDDB,Berlin - Brandenburg,Germany,198,198,79,142,55
2024,01,JAN,2024-01-01,EDDC,Dresden,Germany,6,6,0,3,0
2024,01,JAN,2024-01-01,EDDE,Erfurt,Germany,1,1,0,,
2024,01,JAN,2024-01-01,EDDF,Frankfurt,Germany,463,461,67,306,112
2024,01,JAN,2024-01-01,EDDG,Muenster-Osnabrueck,Germany,6,,,4,0
2024,01,JAN,2024-01-01,EDDH,Hamburg,Germany,119,119,72,90,81
2024,01,JAN,2024-01-01,EDDK,Cologne-Bonn,Germany,70,,,52,19
2024,01,JAN,2024-01-01,EDDL,Dusseldorf,Germany,136,136,10,94,8
2024,01,JAN,2024-01-01,EDDM,Munich,Germany,320,320,0,243,18
2024,01,JAN,2024-01-01,EDDN,Nuremberg,Germany,30,,,18,0
2024,01,JAN,2024-01-01,EDDP,Leipzig-Halle,Germany,24,24,0,5,0
2024,01,JAN,2024-01-01,EDDS,Stuttgart,Germany,65,66,5,47,6
2024,01,JAN,2024-01-01,EDDV,Hanover,Germany,35,35,16,18,3
2024,01,JAN,2024-01-01,EDDW,Bremen,Germany,18,17,0,16,0
2024,01,JAN,2024-01-01,EETN,Tallinn,Estonia,45,46,5,36,15
2024,01,JAN,2024-01-01,EFHK,Helsinki - Vantaa,Finland,165,165,4,160,4
2024,01,JAN,2024-01-01,EGAA,Belfast - Aldergrove,United Kingdom,72,,,59,22
2024,01,JAN,2024-01-01,EGAC,Belfast - City Airport,United Kingdom,38,,,10,0
2024,01,JAN,2024-01-01,EGAE,Londonderry - Eglinton,United Kingdom,3,,,,
2024,01,JAN,2024-01-01,EGBB,Birmingham,United Kingdom,92,92,24,62,51
2024,01,JAN,2024-01-01,EGCC,Manchester,United Kingdom,209,,,144,84
2024,01,JAN,2024-01-01,EGGD,Bristol,United Kingdom,95,95,45,84,34
2024,01,JAN,2024-01-01,EGGW,London - Luton,United Kingdom,158,158,56,87,69
2024,01,JAN,2024-01-01,EGHI,Southampton,United Kingdom,12,,,2,0
2024,01,JAN,2024-01-01,EGKB,Biggin Hill,United Kingdom,16,,,,
2024,01,JAN,2024-01-01,EGKK,London - Gatwick,United Kingdom,333,,,235,510
2024,01,JAN,2024-01-01,EGLC,London - City,United Kingdom,45,45,7,17,7
2024,01,JAN,2024-01-01,EGLF,Farnborough,United Kingdom,17,,,,
2024,01,JAN,2024-01-01,EGLL,London - Heathrow,United Kingdom,551,,,135,275
2024,01,JAN,2024-01-01,EGNT,Newcastle,United Kingdom,34,,,20,0
2024,01,JAN,2024-01-01,EGNX,East Midlands,United Kingdom,33,,,15,0
2024,01,JAN,2024-01-01,EGPD,Aberdeen,United Kingdom,15,15,0,10,0
2024,01,JAN,2024-01-01,EGPF,Glasgow,United Kingdom,53,55,0,33,14
2024,01,JAN,2024-01-01,EGPH,Edinburgh,United Kingdom,131,131,30,98,41
2024,01,JAN,2024-01-01,EGSS,London - Stansted,United Kingdom,244,,,194,171
2024,01,JAN,2024-01-01,EHAM,Amsterdam - Schiphol,Netherlands,616,,,472,1006
2024,01,JAN,2024-01-01,EHBK,Maastricht-Aachen,Netherlands,4,,,2,0
2024,01,JAN,2024-01-01,EHGG,Groningen,Netherlands,2,,,,
2024,01,JAN,2024-01-01,EHRD,Rotterdam,Netherlands,21,,,,
2024,01,JAN,2024-01-01,EICK,Cork,Ireland,30,,,26,3
2024,01,JAN,2024-01-01,EIDL,Donegal,Ireland,1,,,,
2024,01,JAN,2024-01-01,EIDW,Dublin,Ireland,304,,,244,159
2024,01,JAN,2024-01-01,EIKN,Connaught,Ireland,6,,,6,0
2024,01,JAN,2024-01-01,EIKY,Kerry - Farranfore,Ireland,6,,,5,0
2024,01,JAN,2024-01-01,EINN,Shannon,Ireland,21,,,17,0
2024,01,JAN,2024-01-01,EISG,Sligo,Ireland,1,,,,
2024,01,JAN,2024-01-01,EIWF,Waterford,Ireland,0,,,,
2024,01,JAN,2024-01-01,EKCH,Copenhagen - Kastrup,Denmark,239,239,0,192,12
2024,01,JAN,2024-01-01,ELLX,Luxembourg,Luxembourg,83,82,16,57,31
2024,01,JAN,2024-01-01,ENAL,Alesund,Norway,11,,,8,0
2024,01,JAN,2024-01-01,ENAN,Andenes,Norway,3,,,3,0
2024,01,JAN,2024-01-01,ENAT,Alta,Norway,8,,,6,0
2024,01,JAN,2024-01-01,ENBL,Forde Bringeland,Norway,3,,,3,0
2024,01,JAN,2024-01-01,ENBN,Bronnoysund Bronnoy,Norway,1,,,,
2024,01,JAN,2024-01-01,ENBO,Bodø,Norway,35,,,30,0
2024,01,JAN,2024-01-01,ENBR,Bergen,Norway,88,78,0,75,0
2024,01,JAN,2024-01-01,ENBS,Batsfjord,Norway,3,,,3,0
2024,01,JAN,2024-01-01,ENBV,Berlevåg,Norway,3,,,2,0
2024,01,JAN,2024-01-01,ENCN,Kristiansand Kjevik,Norway,8,,,7,0
2024,01,JAN,2024-01-01,ENDU,Bardufoss,Norway,3,,,2,0
2024,01,JAN,2024-01-01,ENEV,Harstad - Narvik Evenes,Norway,9,,,9,0
2024,01,JAN,2024-01-01,ENFL,Florø,Norway,6,,,3,0
2024,01,JAN,2024-01-01,ENGM,Oslo - Gardermoen,Norway,221,221,146,188,79
2024,01,JAN,2024-01-01,ENHD,Haugesund,Norway,5,,,4,0
2024,01,JAN,2024-01-01,ENHF,Hammerfest,Norway,12,,,8,0
2024,01,JAN,2024-01-01,ENHV,Honningsvåg Valan,Norway,1,,,1,0
2024,01,JAN,2024-01-01,ENKB,Kristiansund Kvernberget,Norway,5,,,3,0
2024,01,JAN,2024-01-01,ENKR,Kirkenes Høybuktmoen,Norway,7,,,6,0
2024,01,JAN,2024-01-01,ENLK,Leknes,Norway,5,,,5,0
2024,01,JAN,2024-01-01,ENMH,Mehamn,Norway,3,,,3,0
2024,01,JAN,2024-01-01,ENML,Molde Årø,Norway,4,,,4,0
2024,01,JAN,2024-01-01,ENMS,Mosjøen Kjærstad,Norway,9,,,7,0
2024,01,JAN,2024-01-01,ENNA,Lakselv Banak,Norway,1,,,,
2024,01,JAN,2024-01-01,ENNM,Namsos Høknesøra,Norway,2,,,2,0
2024,01,JAN,2024-01-01,ENOV,Orsta¿Volda Hovden,Norway,4,,,4,0
